Wilayah,Tanggal,Suhu_Rata2_C,Curah_Hujan_mm,Radiasi_Matahari_MJm2,Kecepatan_Angin_Max_kmh
Padang,2020-08-17,25.5,1.0,16.99,7.2
Padang,2020-08-18,26.1,0.7,18.82,8.0
Padang,2020-08-19,26.6,7.2,16.86,6.5
Padang,2020-08-20,26.7,4.1,18.19,8.5
Padang,2020-08-21,25.9,18.5,13.82,8.5
Padang,2020-08-22,25.6,25.0,16.64,7.2
Padang,2020-08-23,26.6,2.4,16.97,8.7
Padang,2020-08-24,27.1,6.8,18.95,9.8
Padang,2020-08-25,25.9,25.8,18.23,10.2
Padang,2020-08-26,25.5,10.5,11.63,5.9
Padang,2020-08-27,25.9,2.3,19.25,6.6
Padang,2020-08-28,25.9,5.0,19.68,7.9
Padang,2020-08-29,26.0,3.0,20.51,10.6
Padang,2020-08-30,25.6,7.2,18.13,7.8
Padang,2020-08-31,25.8,18.5,18.19,7.2
Padang,2020-09-01,25.4,11.7,12.89,10.2
Padang,2020-09-02,25.8,4.3,16.97,8.2
Padang,2020-09-03,25.8,23.3,14.83,8.4
Padang,2020-09-04,25.3,8.7,11.86,4.6
Padang,2020-09-05,25.8,4.0,16.7,8.9
Padang,2020-09-06,26.2,0.1,21.03,7.8
Padang,2020-09-07,26.1,17.1,19.59,7.4
Padang,2020-09-08,25.3,24.3,14.74,7.6
Padang,2020-09-09,24.9,67.1,10.08,14.0
Padang,2020-09-10,24.7,78.4,6.53,6.6
Padang,2020-09-11,25.5,6.3,16.77,8.7
Padang,2020-09-12,26.4,0.5,16.32,7.7
Padang,2020-09-13,26.5,1.4,20.84,8.7
Padang,2020-09-14,26.0,0.9,14.76,8.4
Padang,2020-09-15,26.5,0.5,21.54,9.3
Padang,2020-09-16,25.5,36.8,14.07,8.5
Padang,2020-09-17,25.6,2.3,18.51,10.5
Padang,2020-09-18,25.6,30.9,16.25,12.3
Padang,2020-09-19,26.0,0.5,12.7,9.4
Padang,2020-09-20,26.7,19.9,16.07,9.4
Padang,2020-09-21,26.4,4.6,9.18,6.6
Padang,2020-09-22,26.8,2.4,13.85,10.6
Padang,2020-09-23,26.0,9.9,15.3,7.3
Padang,2020-09-24,25.7,1.0,16.59,5.8
Padang,2020-09-25,25.4,4.1,14.57,4.7
Padang,2020-09-26,24.7,43.5,9.95,6.3
Padang,2020-09-27,25.3,5.7,8.39,6.2
Padang,2020-09-28,26.1,17.3,18.58,9.1
Padang,2020-09-29,25.9,2.8,20.5,7.8
Padang,2020-09-30,25.4,39.7,18.75,9.7
Padang,2020-10-01,25.0,26.3,10.12,8.7
Padang,2020-10-02,25.7,8.7,15.26,6.3
Padang,2020-10-03,26.0,8.2,14.27,7.7
Padang,2020-10-04,26.3,5.2,17.97,7.6
Padang,2020-10-05,25.9,11.9,16.24,7.8
Padang,2020-10-06,25.7,19.1,15.68,12.3
Padang,2020-10-07,24.3,41.4,5.4,14.6
Padang,2020-10-08,24.2,47.5,6.49,8.8
Padang,2020-10-09,24.2,53.5,7.93,10.5
Padang,2020-10-10,25.9,6.1,21.5,6.2
Padang,2020-10-11,26.9,0.2,18.54,7.2
Padang,2020-10-12,26.2,1.7,13.25,7.2
Padang,2020-10-13,26.3,2.0,13.73,9.2
Padang,2020-10-14,27.1,1.2,16.57,8.7
Padang,2020-10-15,27.0,0.4,21.88,8.3
Padang,2020-10-16,27.3,1.6,23.88,8.9
Padang,2020-10-17,27.3,0.6,24.54,8.3
Padang,2020-10-18,26.4,1.8,22.11,9.6
Padang,2020-10-19,26.6,0.4,24.12,8.4
Padang,2020-10-20,26.7,1.8,20.57,11.0
Padang,2020-10-21,26.1,22.0,18.23,11.7
Padang,2020-10-22,26.7,0.8,18.47,7.0
Padang,2020-10-23,27.0,0.6,16.81,7.0
Padang,2020-10-24,25.9,4.1,15.51,9.5
Padang,2020-10-25,25.3,9.8,12.84,8.3
Padang,2020-10-26,25.8,2.6,10.64,9.4
Padang,2020-10-27,26.2,0.6,19.32,13.8
Padang,2020-10-28,26.5,0.7,19.97,8.7
Padang,2020-10-29,26.6,0.5,19.88,8.5
Padang,2020-10-30,26.2,2.4,15.49,6.7
Padang,2020-10-31,25.4,16.5,13.3,7.6
Padang,2020-11-01,25.6,12.1,13.92,8.8
Padang,2020-11-02,26.0,2.7,16.55,7.4
Padang,2020-11-03,25.2,65.2,10.83,7.7
Padang,2020-11-04,26.1,1.8,14.7,7.3
Padang,2020-11-05,26.3,1.3,16.84,6.7
Padang,2020-11-06,26.3,10.7,18.79,8.7
Padang,2020-11-07,25.4,9.8,16.66,10.1
Padang,2020-11-08,25.2,25.7,7.33,5.6
Padang,2020-11-09,26.3,7.0,18.13,6.2
Padang,2020-11-10,25.8,12.3,12.04,7.8
Padang,2020-11-11,26.9,2.1,18.91,10.5
Padang,2020-11-12,26.5,9.9,21.66,9.8
Padang,2020-11-13,26.2,6.4,20.09,8.7
Padang,2020-11-14,25.8,18.0,14.78,7.8
Padang,2020-11-15,25.7,29.4,13.7,8.3
Padang,2020-11-16,26.0,16.8,12.6,10.8
Padang,2020-11-17,25.4,50.2,10.45,7.9
Padang,2020-11-18,25.9,5.7,17.78,7.3
Padang,2020-11-19,25.3,43.2,12.48,6.7
Padang,2020-11-20,25.5,41.9,13.85,6.6
Padang,2020-11-21,24.8,160.4,7.39,6.8
Padang,2020-11-22,25.5,8.6,9.44,6.7
Padang,2020-11-23,26.0,20.1,16.79,11.9
Padang,2020-11-24,25.1,6.8,11.92,4.7
Padang,2020-11-25,25.5,14.4,16.18,6.5
Padang,2020-11-26,25.4,43.3,12.39,8.5
Padang,2020-11-27,26.2,5.3,20.59,11.8
Padang,2020-11-28,25.4,8.9,12.9,9.0
Padang,2020-11-29,25.7,14.6,10.02,7.2
Padang,2020-11-30,26.7,0.5,21.33,7.5
